model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
resnet18,50,46,0,0.6324724984169007,84.0,0.9126819126819127,0.7422037422037422,0.6632922869602232,74.23664122137404,0.7057031324383509,0.5
resnet18,50,46,1,0.5861384510993958,90.0,0.9542619542619543,0.8575883575883576,0.6439871173778563,74.23664122137404,0.7758449966676189,0.5
resnet18,50,46,2,0.5470653843879699,86.0,0.9604989604989604,0.8056133056133057,0.6207024386820902,74.23664122137404,0.8148528991716653,0.5
resnet18,50,46,3,0.5152194166183471,88.0,0.9563409563409564,0.8191268191268191,0.5973756718271561,74.23664122137404,0.832400266590498,0.5
resnet18,50,46,4,0.4873688519001007,86.0,0.9563409563409564,0.7806652806652807,0.5779936381878744,74.23664122137404,0.8452442159383033,0.5
resnet18,50,46,5,0.46553281545639036,88.0,0.9501039501039501,0.8191268191268191,0.5671031550141691,74.23664122137404,0.8573931257735886,0.5
resnet18,50,46,6,0.4528911817073822,84.0,0.9376299376299376,0.7671517671517671,0.5670945334980506,74.23664122137404,0.8619156431495762,0.5
resnet18,50,46,7,0.4177187883853912,86.0,0.9584199584199584,0.7806652806652807,0.578545372904712,74.23664122137404,0.8611444349233552,0.5
resnet18,50,46,8,0.4056902897357941,88.0,0.9480249480249481,0.8191268191268191,0.6001145500718182,74.23664122137404,0.8591259640102827,0.5
resnet18,50,46,9,0.41182798504829404,88.0,0.9376299376299376,0.8191268191268191,0.6290464599168938,74.23664122137404,0.8597162715414643,0.5
resnet18,50,46,10,0.37353886365890504,90.0,0.9584199584199584,0.8575883575883576,0.6629969297929574,74.23664122137404,0.8589069789583927,0.5
resnet18,50,46,11,0.3753682851791382,84.0,0.9438669438669439,0.7671517671517671,0.6975652486768388,74.23664122137404,0.8583737979624869,0.5
resnet18,50,46,12,0.35691154360771177,86.0,0.9521829521829521,0.8056133056133057,0.7303358157172458,74.23664122137404,0.8596972293630392,0.5
resnet18,50,46,13,0.36337308287620546,82.0,0.9313929313929314,0.7536382536382537,0.7594033338641393,74.23664122137404,0.8614110254213082,0.5
resnet18,50,46,14,0.32466301798820496,90.0,0.9667359667359667,0.8575883575883576,0.7844697710211951,74.23664122137404,0.8643244787203657,0.5
resnet18,50,46,15,0.3287004244327545,88.0,0.9542619542619543,0.8440748440748441,0.8056387910406098,74.23664122137404,0.867961534799581,0.5
resnet18,50,46,16,0.31666828274726866,86.0,0.9604989604989606,0.8056133056133057,0.8222346829094049,74.23664122137404,0.8733314291154909,0.5
resnet18,50,46,17,0.34209325909614563,82.0,0.9355509355509355,0.7286902286902287,0.8332342751153553,74.23664122137404,0.8777206512425021,0.5
resnet18,50,46,18,0.29257188200950623,90.0,0.972972972972973,0.8575883575883576,0.8397575507637198,74.23664122137404,0.8834047415024278,0.5
resnet18,50,46,19,0.28069003105163576,92.0,0.9792099792099793,0.896049896049896,0.8439241060773834,74.23664122137404,0.8884318766066838,0.5
