model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
swin,100,45,0,1.4570817565917968,64.0,0.48804573804573803,0.4698544698544699,1.022776793887597,31.48854961832061,0.7047319813386651,0.538560411311054
swin,100,45,1,0.7197360038757324,63.0,0.5556133056133056,0.5504158004158004,0.6016386499386708,74.23664122137404,0.5365133771303437,0.5
swin,100,45,2,0.6816608548164368,57.0,0.46465696465696466,0.43503118503118504,0.6105068758243822,76.90839694656489,0.7184042654479673,0.6945348947919642
swin,100,45,3,0.6330789971351624,68.0,0.47765072765072764,0.4719334719334719,0.578022831268893,74.23664122137404,0.7720651242502141,0.5
swin,100,45,4,0.5685848474502564,74.0,0.6980249480249481,0.5,0.4837840577118269,74.61832061068702,0.8920879748643246,0.5074074074074074
swin,100,45,5,0.5044930863380432,74.0,0.7884615384615384,0.524948024948025,0.49192498544700275,77.09923664122137,0.8086641911834713,0.5555555555555556
swin,100,45,6,0.5144517135620117,74.0,0.7234927234927235,0.5374220374220374,0.48298004269599915,77.67175572519083,0.7896029705798344,0.5666666666666667
swin,100,45,7,0.4475501924753189,77.0,0.8664241164241163,0.5826403326403327,0.4121772273806215,84.54198473282443,0.8860896886603828,0.7169284966200133
swin,100,45,8,0.44065600633621216,84.0,0.8134095634095635,0.7422037422037422,0.39345471708829166,81.10687022900764,0.895820241835666,0.6405884033133391
swin,100,45,9,0.45118909180164335,78.0,0.8544698544698546,0.5769230769230769,0.40806515059853327,79.38931297709924,0.8889269732457393,0.6024183566600019
swin,100,45,10,0.4014808523654938,79.0,0.8851351351351352,0.6335758835758836,0.48223660442665334,75.57251908396947,0.8406931352946777,0.7629248786061125
swin,100,45,11,0.45111592769622805,82.0,0.8955301455301455,0.8534303534303534,0.33683183891627627,86.45038167938931,0.910654098828906,0.7854041702370751
swin,100,45,12,0.3445860242843628,83.0,0.909043659043659,0.722972972972973,0.3412246559639923,84.54198473282443,0.9044082643054365,0.7435304198800343
swin,100,45,13,0.34070295602083206,86.0,0.911122661122661,0.818087318087318,0.36646529554410745,85.49618320610686,0.8827763496143958,0.7838141483385699
swin,100,45,14,0.3638747978210449,83.0,0.8991683991683992,0.722972972972973,0.3225121970167597,87.78625954198473,0.9142149861944207,0.8210035228030086
swin,100,45,15,0.3209898716211319,85.0,0.9371101871101872,0.8362785862785863,0.31193321875033486,88.74045801526718,0.9188993620870227,0.8346853280015234
swin,100,45,16,0.29600674510002134,87.0,0.9345114345114346,0.7998960498960499,0.31293107899090716,86.06870229007633,0.9210320860706466,0.7683233361896601
swin,100,45,17,0.2495802164077759,89.0,0.9547817047817049,0.8383575883575883,0.3495884816382677,85.30534351145039,0.8964867180805484,0.8067123678948872
swin,100,45,18,0.21653345823287964,93.0,0.9745322245322245,0.9277546777546778,0.3621781395591852,84.54198473282443,0.9194135009045035,0.7145101399600113
swin,100,45,19,0.2215394926071167,89.0,0.9662162162162162,0.8258835758835759,0.37355360002008103,83.96946564885496,0.9159859087879655,0.8460820717890127
