model,sample_size,run_number,epoch,train_loss,train_acc,train_auc,train_bal_acc,val_loss,val_acc,val_auc,val_bal_acc
deit,100,44,0,0.907406325340271,66.0,0.6264,0.66,0.6977489471435547,57.333333333333336,0.6207555555555555,0.5733333333333334
deit,100,44,1,0.5803874063491822,70.0,0.7727999999999999,0.7,0.6544122465451558,59.333333333333336,0.6406222222222222,0.5933333333333333
deit,100,44,2,0.5841515946388245,71.0,0.8156,0.71,0.645827616850535,62.333333333333336,0.6705333333333333,0.6233333333333333
deit,100,44,3,0.5733607387542725,73.0,0.8171999999999999,0.73,0.6429538718859354,59.0,0.6678666666666666,0.59
deit,100,44,4,0.5443642330169678,72.0,0.8135999999999999,0.72,0.6795160301526387,59.333333333333336,0.6636444444444444,0.5933333333333333
deit,100,44,5,0.5665365362167358,68.0,0.8068,0.6799999999999999,0.6468086791038513,61.333333333333336,0.6921333333333333,0.6133333333333333
deit,100,44,6,0.6360733842849732,66.0,0.77,0.6599999999999999,0.6611255876223247,60.333333333333336,0.7255555555555557,0.6033333333333333
deit,100,44,7,0.5613938057422638,69.0,0.7808,0.69,0.7049130352338155,59.666666666666664,0.7222666666666667,0.5966666666666667
deit,100,44,8,0.5561978662014008,72.0,0.8343999999999999,0.72,0.6099323805173238,68.0,0.7275555555555555,0.6799999999999999
deit,100,44,9,0.5028234767913818,73.0,0.8532000000000001,0.73,0.6389582800865173,67.0,0.7224888888888888,0.67
deit,100,44,10,0.4899779284000397,71.0,0.8543999999999999,0.71,0.6998295966784159,63.0,0.6924888888888889,0.63
deit,100,44,11,0.5040012311935425,78.0,0.8528,0.78,0.6634841020901998,67.33333333333333,0.726,0.6733333333333333
deit,100,44,12,0.4601418650150299,79.0,0.8628,0.79,0.653953508536021,71.66666666666667,0.7504888888888889,0.7166666666666667
deit,100,44,13,0.4921122419834137,78.0,0.8532,0.78,0.6514927673339844,69.33333333333333,0.7527111111111111,0.6933333333333334
deit,100,44,14,0.462722589969635,81.0,0.8668,0.81,0.6515392263730367,70.0,0.751688888888889,0.7
deit,100,44,15,0.4479326558113098,84.0,0.8652,0.8400000000000001,0.6380537486076355,70.0,0.7540888888888889,0.7
deit,100,44,16,0.4305927193164825,83.0,0.8744,0.8300000000000001,0.6755642318725585,68.66666666666667,0.7400444444444445,0.6866666666666666
deit,100,44,17,0.43568625807762146,81.0,0.8692,0.81,0.7253040273984274,65.33333333333333,0.713111111111111,0.6533333333333333
deit,100,44,18,0.44313300013542173,81.0,0.8724,0.81,0.7413905684153239,68.66666666666667,0.7238222222222223,0.6866666666666666
deit,100,44,19,0.4875626492500305,80.0,0.8695999999999999,0.8,0.6930447101593018,70.66666666666667,0.7456444444444444,0.7066666666666667
deit,100,44,20,0.41515868186950683,82.0,0.8904,0.8200000000000001,0.6604260977109273,70.0,0.7504444444444444,0.7
deit,100,44,21,0.42141433477401735,80.0,0.8976000000000001,0.8,0.6281198906898499,68.66666666666667,0.7466222222222221,0.6866666666666666
deit,100,44,22,0.41386558532714846,83.0,0.89,0.83,0.6440253988901774,69.0,0.7549777777777777,0.69
deit,100,44,23,0.410379056930542,83.0,0.8864,0.8300000000000001,0.635563424428304,69.66666666666667,0.7618666666666666,0.6966666666666667
deit,100,44,24,0.39866491734981535,84.0,0.9036000000000001,0.8400000000000001,0.6577629113197326,69.0,0.7647111111111111,0.69
deit,100,44,25,0.3904268217086792,84.0,0.8892000000000001,0.8400000000000001,0.707573762734731,68.33333333333333,0.7528888888888889,0.6833333333333333
deit,100,44,26,0.39063655376434325,84.0,0.8972,0.8400000000000001,0.6915492288271586,69.33333333333333,0.7262222222222221,0.6933333333333334
deit,100,44,27,0.4378523898124695,85.0,0.8724,0.85,0.6613571683565775,68.0,0.7350666666666668,0.6799999999999999
deit,100,44,28,0.3878526520729065,85.0,0.9056000000000001,0.85,0.6571551497777303,69.0,0.7437777777777778,0.69
deit,100,44,29,0.38094425439834595,85.0,0.9024000000000001,0.85,0.6591218034426372,71.66666666666667,0.7597333333333334,0.7166666666666667
deit,100,44,30,0.36068926244974137,85.0,0.918,0.85,0.6961566893259684,67.66666666666667,0.7450666666666665,0.6766666666666666
deit,100,44,31,0.3720030391216278,85.0,0.9156000000000001,0.85,0.8081789970397949,68.0,0.7083999999999999,0.6799999999999999
